sku,platform,days_tracked,days_oos,longest_oos_streak,max_discount,avg_discount
RRGK,myntra,1,0,0,,
RRGK,nykaa,1,0,0,,
RRGK,shopify,1,0,0,0.0,0.0
RRGK,smytten,1,0,0,,
RRSS30,amazon,1,0,0,,
RRSS30,myntra,1,0,0,,
RRSS30,nykaa,1,0,0,,
RRSS30,shopify,1,0,0,0.0,0.0
RRSS30,smytten,1,0,0,,
SAFS30,amazon,1,0,0,,
SAFS30,flipkart,1,0,0,,
SAFS30,myntra,1,0,0,,
SAFS30,nykaa,1,0,0,,
SAFS30,shopify,1,0,0,0.0,0.0
SAFS30,smytten,1,0,0,,
SBSM50,amazon,1,0,0,50.0,50.0
SBSM50,myntra,1,0,0,,
SBSM50,nykaa,1,0,0,,
SBSM50,shopify,1,0,0,0.0,0.0
SBSM50,smytten,1,0,0,,
SCBW200,amazon,1,1,1,69.2,69.2
SCBW200,myntra,1,0,0,,
SCBW200,nykaa,1,0,0,,
SCBW200,shopify,1,0,0,0.0,0.0
SCBW200,smytten,1,0,0,,
SDC300,amazon,1,0,0,,
SDC300,flipkart,1,0,0,,
SDC300,myntra,1,0,0,,
SDC300,nykaa,1,0,0,,
SDC300,shopify,1,0,0,0.0,0.0
SHFC300,amazon,1,0,0,,
SHFC300,flipkart,1,0,0,,
SHFC300,myntra,1,0,0,,
SHFC300,nykaa,1,0,0,,
SHFC300,shopify,1,0,0,0.0,0.0
SHM300,amazon,1,0,0,,
SHM300,flipkart,1,0,0,,
SHM300,myntra,1,0,0,,
SHM300,nykaa,1,0,0,,
SHM300,shopify,1,0,0,0.0,0.0
SLBW200,amazon,1,1,1,24.4,24.4
SLBW200,myntra,1,0,0,,
SLBW200,nykaa,1,0,0,,
SLBW200,shopify,1,0,0,0.0,0.0
SLFW100,amazon,1,0,0,0.0,0.0
SLFW100,flipkart,1,0,0,,
SLFW100,myntra,1,0,0,,
SLFW100,nykaa,1,0,0,,
SLFW100,shopify,1,0,0,0.0,0.0
SLFW100,smytten,1,0,0,,
SSGK,amazon,1,0,0,0.0,0.0
SSGK,flipkart,1,0,0,,
SSGK,myntra,1,0,0,,
SSGK,shopify,1,0,0,0.0,0.0
SSGK,smytten,1,0,0,,
TBM125,amazon,1,0,0,,
TBM125,flipkart,1,0,0,,
TBM125,myntra,1,0,0,,
TBM125,nykaa,1,0,0,,
TBM125,shopify,1,0,0,0.0,0.0
TBM125,smytten,1,0,0,,
TBSH200,amazon,1,0,0,,
TBSH200,flipkart,1,0,0,,
TBSH200,myntra,1,0,0,,
TBSH200,nykaa,1,0,0,,
TBSH200,shopify,1,0,0,0.0,0.0
TBSH200,smytten,1,0,0,,
TTO100,amazon,1,0,0,99.9,99.9
TTO100,flipkart,1,0,0,,
TTO100,myntra,1,0,0,,
TTO100,nykaa,1,0,0,,
TTO100,shopify,1,0,0,0.0,0.0
TTO100,smytten,1,0,0,,
TTSOS8,amazon,1,0,0,52.0,52.0
TTSOS8,myntra,1,0,0,,
TTSOS8,nykaa,1,0,0,,
TTSOS8,shopify,1,0,0,0.0,0.0
TTSOS8,smytten,1,0,0,,
VCFS30,amazon,1,0,0,70.0,70.0
VCFS30,myntra,1,0,0,,
VCFS30,nykaa,1,0,0,,
VCFS30,shopify,1,0,0,0.0,0.0
VCFS30,smytten,1,0,0,,
VCPFW30,amazon,1,1,1,55.5,55.5
VCPFW30,myntra,1,0,0,,
VCPFW30,nykaa,1,0,0,,
VCPFW30,shopify,1,0,0,0.0,0.0
